gene_name,SRR38105552,SRR38105553,SRR38105554,SRR38105555,SRR38105556,SRR38105557,SRR38105558,SRR38105559,SRR38105560,SRR38105561,SRR38105562,SRR38105563,SRR38105564,SRR38105565,SRR38105566,SRR38105567,SRR38105568,SRR38105569,SRR38105570,SRR38105571,SRR38105572,SRR38105573,SRR38105574,SRR38105575,SRR38105576,SRR38105577,SRR38105578,SRR38105579,SRR38105580,SRR38105581,SRR38105582,SRR38105583,SRR38105584,SRR38105585,SRR38105586,SRR38105587,SRR38105588,SRR38105589,SRR38105590,SRR38105591,SRR38105592,SRR38105593,SRR38105594,SRR38105595,SRR38105596,SRR38105597,SRR38105598,SRR38105599,SRR38105600,SRR38105601,SRR38105602,SRR38105603,SRR38105604,SRR38105605,SRR38105606,SRR38105607,SRR38105608,SRR38105609,SRR38105610,SRR38105611,SRR38105612,SRR38105613,SRR38105614,SRR38105615,SRR38105616,SRR38105617,SRR38105618,SRR38105619,SRR38105620,SRR38105621,SRR38105622,SRR38105623,SRR38105624,SRR38105625,SRR38105626,SRR38105627,SRR38105628,SRR38105629,SRR38105630,SRR38105631,SRR38105632,SRR38105633,SRR38105634,SRR38105635,SRR38105636,SRR38105637,SRR38105638,SRR38105639,SRR38105640,SRR38105641,SRR38105642,SRR38105643,SRR38105644,SRR38105645,SRR38105646,SRR38105647,SRR38105648,SRR38105649,SRR38105650,SRR38105651,SRR38105652,SRR38105653,SRR38105654,SRR38105655,SRR38105656,SRR38105657,SRR38105658,SRR38105659,SRR38105660,SRR38105661,SRR38105662,SRR38105663,SRR38105664,SRR38105665,SRR38105666,SRR38105667,SRR38105668,SRR38105669,SRR38105670,SRR38105671,SRR38105672,SRR38105673,SRR38105674,SRR38105675,SRR38105676,SRR38105677,SRR38105678,SRR38105679,SRR38105680,SRR38105681,SRR38105682,SRR38105683,SRR38105684,SRR38105685,SRR38105686,SRR38105687,SRR38105688,SRR38105689,SRR38105690,SRR38105691,SRR38105692,SRR38105693,SRR38105694,SRR38105695,SRR38105696,SRR38105697,SRR38105698,SRR38105699,SRR38105700,SRR38105701,SRR38105702,SRR38105703,SRR38105704,SRR38105705,SRR38105706,SRR38105707,SRR38105708,SRR38105709,SRR38105710,SRR38105711,SRR38105712,SRR38105713,SRR38105714,SRR38105715,SRR38105716,SRR38105717,SRR38105718,SRR38105719,SRR38105720,SRR38105721,SRR38105722,SRR38105723,SRR38105724,SRR38105725,SRR38105726,SRR38105727,SRR38105728,SRR38105729,SRR38105730,SRR38105731,SRR38105732,SRR38105733,SRR38105734,SRR38105735,SRR38105736,SRR38105737,SRR38105738,SRR38105739,SRR38105740,SRR38105741,SRR38105742,SRR38105743,SRR38105744,SRR38105745,SRR38105746,SRR38105747,SRR38105748,SRR38105749,SRR38105750,SRR38105751,SRR38105752,SRR38105753,SRR38105754,SRR38105756,SRR38105757,SRR38105758,SRR38105759,SRR38105760,SRR38105761,SRR38105763,SRR38105764,SRR38105765,SRR38105766,SRR38105767,SRR38105768,SRR38105769,SRR38105770,SRR38105771,SRR38105772,SRR38105773,SRR38105774,SRR38105775,SRR38105776,SRR38105777,SRR38105778,SRR38105779,SRR38105780,SRR38105781,SRR38105782,SRR38105783,SRR38105784,SRR38105785,SRR38105786,SRR38105787,SRR38105788,SRR38105789,SRR38105790,SRR38105791,SRR38105792,SRR38105793,SRR38105794,SRR38105795,SRR38105796,SRR38105797,SRR38105798,SRR38105799,SRR38105800,SRR38105801,SRR38105802,SRR38105803,SRR38105804,SRR38105805,SRR38105806,SRR38105807,SRR38105808,SRR38105809,SRR38105810,SRR38105811,SRR38105812,SRR38105813,SRR38105814,SRR38105815,SRR38105816,SRR38105817,SRR38105818,SRR38105819,SRR38105820,SRR38105821,SRR38105822,SRR38105823,SRR38105824,SRR38105825,SRR38105826,SRR38105827,SRR38105828,SRR38105829,SRR38105830,SRR38105831,SRR38105832,SRR38105833,SRR38105834,SRR38105835,SRR38105836,SRR38105837,SRR38105838,SRR38105839,SRR38105840,SRR38105841,SRR38105842,SRR38105843,SRR38105844,SRR38105845,SRR38105846,SRR38105847,SRR38105848,SRR38105849,SRR38105850,SRR38105851,SRR38105852,SRR38105853,SRR38105854,SRR38105855,SRR38105856,SRR38105857,SRR38105858,SRR38105859,SRR38105860,SRR38105861,SRR38105862,SRR38105863,SRR38105864,SRR38105865,SRR38105866,SRR38105867,SRR38105868,SRR38105869,SRR38105870,SRR38105871,SRR38105872,SRR38105873,SRR38105874,SRR38105875,SRR38105876,SRR38105877,SRR38105878,SRR38105879,SRR38105880,SRR38105881,SRR38105882,SRR38105883,SRR38105884,SRR38105885,SRR38105886,SRR38105887,SRR38105888,SRR38105889,SRR38105890,SRR38105891,SRR38105892,SRR38105893,SRR38105894,SRR38105895,SRR38105896,SRR38105897
GP,211628.5,0.0,202581.6,153318.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152392.66307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257276.27378,357864.0,309548.2,258241.0,285929.0,0.0,0.0,194097.2,0,0.0,0.0,197687.1,0.0,0,0.0,0.0,0.0,220278.0,0.0,328536.0,0.0,0.0,308809,178734.77847,0.0,227753.49189,449677.86361,0.0,0.0,275304.7,206055.1,0.0,419667.0,262629.8,0.0,0.0,337254.0,232316.4,0.0,0.0,239447.0,0.0,205460.2,323627.0,285793.4,248925.0,0.0,0.0,193768,251100.0,252332.4,228179.0,337755.0,252660.0,214306.4,322263.8,251720.3,0.0,0.0,0.0,0.0,0.0,0.0,250666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,231085.9,0.0,999999.892,0.0,249149.3,0.0,0.0,0.0,0,281267.326,0.0,0.0,33006.990000000005,0.0,72929.917244,0.0,153795.14634,247743.7,0,216970.2,793014.36,160474.22301,0,0.0,0.0,92147.84021,274220.0,243117.0,289386.0,237511.0,250563.98401,553926.0,372694.4,0.0,0.0,0.0,188689.17349,169031.6703,164569.47008,0.0,0.0,241924.27778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225617.5,0.0,0.0,0.0,0.0,0.0,0.0,999999.892,0.0,0.0,0.0,292204.0,0.0,0.0,0.0,0.0,259169.0,259868.0,262573.5,315213.5,291259.0,370842.1,280728.5,199665.7,0.0,413725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979660.13255,0.0,0.0,790534.5442,0.0,0.0,0.0,231973,242659.0,0.0,235925.7,0.0,0.0,0.0,281605.7,214340.0,0.0,102635.5676,295764.3,0.0,0.0,0.0,0,0.0,0.0,270523.0,192118.5,276735.0,263421.0,0.0,0.0,219336.1,299286.0,345971.0,247132.4,319760.5,293429.2,286783.3,0.0,220426.0,262019.0,217731.0,0.0,0.0,0.0,0.0,232283.0,288174.8,253765.69802,192902.7,0.0,269592.7,234744.4,241243.0,359216.9,251912.31117,255762.5,220707.5,0.0,0.0,0,0,272599.0,0.0,0.0,0.0,0.0,338983.1299,0.0,0.0,226916.0,0.0,471483.0561,0.0,0.0,0.0,222125.54866,565956.77008,525974.759,0.0,0.0,0.0,203427.7,0.0,180236.59999999998,187859.8,0.0,280582.6,270097.0,0.0,0.0,169284.9,158018.23711,152755.6,0.0,149317.0,162325.7,254192.1,0.0,267028.1,0.0,222281.0,267463.2,0.0,0.0,1000000.0,44322.35485,219925.2,0.0,364986.24678,0.0,189967.06614,0.0,208230.5,0.0,0.0,0,0.0,177868,0.0,0.0,0.0,213919.0,0.0,999999.892,201774.3,0.0,0.0,0.0,999999.892,0.0,0.0,0.0,320137.6,206396.4,239243.5,215741.9,224088.6,256176.7,257723.0,362877.0,267591.0,224538.0,0.0,0.0,0.0,306559.29048,0.0,0.0,0.0,176251.4,999999.892,244046.6,0.0,0.0,69980.86760000001,227456.0,204912.4,0.0,214860.6
L,108284.0,0.0,101441.0,108794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89930.7,79808.0,83853.7,103094.0,104999.0,0.0,0.0,103686.0,173710,0.0,0.0,99027.2,0.0,304664,0.0,0.0,0.0,96916.0,0.0,66518.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,93278.8,157674.0,0.0,11350.4,61043.8,0.0,0.0,101301.0,64550.0,0.0,0.0,92257.6,0.0,37973.2,26620.3,66223.6,107850.0,1000000.0,0.0,127606,91427.4,57726.1,89797.9,18699.3,73465.8,105734.0,90934.1,88422.0,0.0,0.0,0.0,0.0,0.0,0.0,110940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,107220.0,0.0,0.0,0.0,52983.9,0.0,0.0,0.0,296225,34081.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82248.9,0,102926.0,0.0,0.0,0,0.0,27939.3,0.0,98084.4,71886.4,51781.7,21239.8,58914.2,50517.4,10285.5,0.0,0.0,0.0,83943.0,109155.0,0.0,0.0,0.0,117631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91522.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79543.3,0.0,0.0,0.0,0.0,131787.0,104309.0,61284.8,42501.6,78487.2,7625.2,65229.6,102369.0,0.0,46995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209465.0,0.0,0.0,0.0,111129,118227.0,0.0,108557.0,0.0,0.0,0.0,78069.1,114746.0,0.0,76521.1,79679.8,0.0,0.0,0.0,289796,0.0,0.0,123714.0,100200.0,89638.4,104163.0,0.0,0.0,76941.6,69317.0,35979.8,65823.8,66791.3,79565.3,81402.5,0.0,101198.0,105819.0,46737.0,0.0,0.0,0.0,0.0,112235.0,72341.4,95231.6,93398.7,0.0,75515.4,56466.2,102768.0,12461.8,21397.6,128773.0,127188.0,0.0,0.0,211954,281478,68983.5,0.0,0.0,0.0,0.0,51453.4,0.0,0.0,111351.0,0.0,31942.9,0.0,0.0,0.0,0.0,434043.0,16058.7,0.0,0.0,0.0,105527.0,0.0,110719.0,110869.0,0.0,45662.5,94789.0,0.0,0.0,125130.0,136470.0,147151.0,0.0,142133.0,137655.0,103243.0,0.0,94026.1,0.0,65380.3,60862.3,0.0,0.0,0.0,11806.3,85654.0,26874.1,0.0,0.0,0.0,0.0,81864.7,0.0,0.0,278688,0.0,113365,0.0,0.0,0.0,97179.4,0.0,0.0,100690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83461.5,113004.0,47967.0,94327.7,25077.0,75610.4,111232.0,34225.9,37564.8,103068.0,0.0,0.0,0.0,163563.0,0.0,0.0,0.0,68810.1,0.0,98200.7,0.0,0.0,65676.6,64251.5,75576.7,0.0,74165.3
NP,105021.0,1000000.0,110972.0,108557.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,97509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183080.0,118767.0,183228.0,113715.0,130233.0,0.0,0.0,112486.0,106790,0.0,0.0,120554.0,0.0,695336,0.0,0.0,0.0,101763.0,0.0,192126.0,0.0,0.0,0,0.0,1000000.0,0.0,0.0,0.0,0.0,141270.0,118248.0,0.0,195924.0,180348.0,0.0,0.0,137593.0,126750.0,0.0,0.0,136055.0,0.0,153521.0,188760.0,163430.0,103054.0,0.0,0.0,102781,122335.0,153073.0,111669.0,180937.0,145118.0,107137.0,135229.0,146136.0,0.0,0.0,0.0,0.0,0.0,0.0,125052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,107622.0,0.0,0.0,0.0,192873.0,0.0,0.0,0.0,703775,166197.0,0.0,0.0,222946.0,0.0,0.0,1000000.0,24993.6,118809.0,22081,111187.0,40546.4,398610.0,436906,0.0,224088.0,94859.7,176698.0,131579.0,180863.0,175409.0,118691.0,41971.7,193307.0,0.0,0.0,0.0,155013.0,287360.0,240767.0,0.0,0.0,237455.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223406.0,0.0,0.0,0.0,0.0,117819.0,127494.0,163944.0,142014.0,124636.0,188557.0,138570.0,114993.0,0.0,137463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20340.3,0.0,0.0,0.0,0.0,0.0,0.0,101319,105026.0,0.0,103381.0,0.0,0.0,0.0,130079.0,101035.0,0.0,135920.0,163489.0,0.0,0.0,0.0,710204,0.0,0.0,124063.0,151193.0,128129.0,116794.0,0.0,0.0,157247.0,160979.0,163849.0,159282.0,141910.0,147220.0,129595.0,0.0,125062.0,124388.0,159293.0,0.0,0.0,0.0,0.0,102455.0,146500.0,136490.0,138400.0,0.0,163641.0,172653.0,114296.0,214842.0,478595.0,102488.0,107184.0,0.0,0.0,0,0,155293.0,0.0,0.0,0.0,0.0,221189.0,0.0,0.0,123248.0,0.0,153810.0,0.0,0.0,0.0,0.0,0.0,191911.0,0.0,0.0,0.0,149387.0,0.0,161239.0,154362.0,0.0,143664.0,160485.0,0.0,0.0,128934.0,119716.0,147700.0,0.0,138020.0,139743.0,123000.0,0.0,96255.1,0.0,151772.0,141795.0,0.0,0.0,0.0,372849.0,157596.0,289946.0,117312.0,0.0,242402.0,0.0,183344.0,1000000.0,0.0,0,0.0,418171,0.0,0.0,0.0,108808.0,0.0,0.0,109491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135097.0,117431.0,154924.0,116780.0,142063.0,140581.0,127209.0,173479.0,61923.8,104918.0,0.0,0.0,0.0,72271.9,0.0,0.0,0.0,164730.0,0.0,98622.5,0.0,0.0,62603.4,190646.0,161128.0,0.0,170643.0
VP24,146178.0,0.0,143131.0,162616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86690.0,72737.9,39010.6,133522.0,125639.0,0.0,0.0,138762.0,445228,0.0,0.0,137129.0,0.0,0,0.0,0.0,0.0,145673.0,0.0,112258.0,1000000.0,0.0,162664,0.0,0.0,244022.0,0.0,0.0,1000000.0,53766.8,173523.0,0.0,10952.9,94195.6,0.0,0.0,157815.0,136387.0,0.0,0.0,137773.0,0.0,39206.7,30886.5,80206.4,143917.0,0.0,0.0,151019,115534.0,97550.7,88180.2,24541.2,92044.1,152910.0,94979.7,151091.0,0.0,0.0,0.0,0.0,0.0,0.0,126051.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,469447,0.0,137059.0,0.0,0.0,0.0,129855.0,0.0,0.0,0.0,0,162976.0,0.0,0.0,3403.32,0.0,151618.0,0.0,0.0,121161.0,0,139140.0,15909.0,0.0,0,0.0,0.0,37948.5,107799.0,126455.0,80005.7,31047.0,87540.4,59817.8,15111.2,0.0,0.0,0.0,107966.0,226154.0,594664.0,0.0,0.0,85987.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30483.1,0.0,1000000.0,0.0,0.0,147890.0,129329.0,90160.1,76689.3,114993.0,10665.0,82457.0,151075.0,0.0,63871.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140609,144473.0,0.0,149073.0,0.0,0.0,0.0,90960.8,151223.0,0.0,44239.5,124728.0,0.0,0.0,0.0,0,0.0,0.0,142272.0,87020.5,118102.0,124009.0,0.0,0.0,84222.5,65926.6,37707.2,87280.7,99976.4,104436.0,108519.0,0.0,134099.0,115007.0,89895.3,0.0,0.0,0.0,0.0,138838.0,121612.0,170226.0,87600.2,0.0,144058.0,100661.0,142763.0,16531.4,0.0,138976.0,130393.0,0.0,0.0,0,718522,84461.1,0.0,0.0,0.0,0.0,35522.2,0.0,0.0,149167.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131547.0,0.0,140320.0,131520.0,0.0,65872.4,124910.0,0.0,0.0,169394.0,183769.0,148866.0,0.0,155033.0,170072.0,67560.1,0.0,119149.0,0.0,94479.2,82516.4,0.0,0.0,0.0,0.0,177926.0,73824.2,0.0,0.0,253980.0,0.0,50024.9,0.0,0.0,0,0.0,290597,0.0,0.0,0.0,136032.0,0.0,0.0,142082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93636.2,142090.0,62513.2,129859.0,21914.1,102318.0,135000.0,51615.1,130409.0,146665.0,0.0,0.0,0.0,103901.0,0.0,0.0,0.0,119561.0,0.0,106903.0,0.0,0.0,139007.0,118958.0,149104.0,0.0,140708.0
VP30,91226.7,0.0,111732.0,97766.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49953.8,107753.0,106890.0,91654.3,86352.3,0.0,0.0,117223.0,0,0.0,0.0,103405.0,0.0,0,0.0,0.0,0.0,95313.3,0.0,87651.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,82064.1,98071.6,0.0,16996.6,41981.5,0.0,0.0,22969.5,85559.3,0.0,0.0,107261.0,0.0,89924.9,33792.4,75439.2,88124.5,0.0,0.0,109323,78305.6,108974.0,81199.4,19579.8,113362.0,89164.8,57838.1,87192.2,0.0,0.0,0.0,0.0,0.0,0.0,91463.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530553,0.0,95535.1,0.0,0.0,0.0,210186.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5908.67,0.0,0.0,0.0,0.0,90814.8,0,93376.3,0.0,0.0,0,0.0,0.0,0.0,82301.5,88414.2,54856.0,46576.5,40001.0,0.0,17602.6,0.0,0.0,0.0,247478.0,43252.1,0.0,0.0,0.0,123066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84409.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57895.1,0.0,0.0,0.0,0.0,89414.9,95951.4,73754.4,78494.1,64836.3,17294.5,111841.0,89906.6,0.0,42672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102690,90528.9,0.0,90862.9,0.0,0.0,0.0,117164.0,95866.1,0.0,348533.0,43154.9,0.0,0.0,0.0,0,0.0,0.0,85240.9,66559.4,81542.5,80874.2,0.0,0.0,58562.4,82084.2,40082.1,100851.0,60414.6,89483.1,74052.8,0.0,86640.5,65804.3,62018.1,0.0,0.0,0.0,0.0,88499.9,50538.6,225747.0,89379.7,0.0,108619.0,79800.9,94371.3,20792.0,0.0,91379.8,102611.0,0.0,0.0,788046,0,93789.5,0.0,0.0,0.0,0.0,80537.4,0.0,0.0,91077.7,0.0,175048.0,0.0,0.0,0.0,113607.0,0.0,0.0,0.0,0.0,0.0,74897.1,0.0,75559.0,80458.1,0.0,51260.2,39217.8,0.0,0.0,79604.6,68416.3,104532.0,0.0,119389.0,115614.0,111626.0,0.0,79509.3,0.0,63274.2,65593.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77412.5,0.0,0.0,0,0.0,0,0.0,0.0,0.0,109957.0,0.0,0.0,114411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69041.7,102215.0,70138.0,98255.5,52932.2,120354.0,91592.6,23258.6,224687.0,93885.3,0.0,0.0,0.0,60079.7,0.0,0.0,0.0,100461.0,0.0,111440.0,0.0,0.0,287553.0,85398.6,88295.4,0.0,80640.8
VP35,116943.0,0.0,120355.0,148652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103401.0,140434.0,91642.8,108734.0,0.0,0.0,114472.0,274272,0.0,0.0,124938.0,0.0,0,0.0,0.0,0.0,123848.0,0.0,55547.5,0.0,0.0,528526,152383.0,0.0,528225.0,0.0,0.0,0.0,73541.0,113141.0,0.0,172281.0,119395.0,0.0,1000000.0,74199.7,178770.0,0.0,0.0,75952.5,0.0,319464.0,233052.0,123448.0,102353.0,0.0,0.0,107163,121939.0,118255.0,171251.0,208512.0,117358.0,123929.0,57670.2,93498.5,0.0,0.0,0.0,0.0,0.0,0.0,111930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105890.0,0.0,0.0,0.0,64966.2,0.0,0.0,0.0,0,189523.0,0.0,0.0,723497.0,0.0,775452.0,0.0,491482.0,122599.0,572300,128927.0,150530.0,278693.0,563094,0.0,747973.0,691949.0,111528.0,142129.0,177205.0,224208.0,42962.9,260915.0,214495.0,0.0,0.0,0.0,177546.0,0.0,0.0,0.0,0.0,52943.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161437.0,0.0,0.0,0.0,0.0,103154.0,114510.0,163947.0,88648.6,114377.0,213248.0,106881.0,123441.0,1000000.0,104890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102142,99166.3,0.0,105744.0,0.0,0.0,0.0,91598.2,113155.0,0.0,53011.7,46615.8,0.0,0.0,0.0,0,0.0,0.0,79855.7,150673.0,86842.2,92697.2,0.0,0.0,201992.0,106469.0,173481.0,124941.0,112517.0,99874.8,88056.0,0.0,114168.0,92368.4,193829.0,0.0,0.0,0.0,0.0,109878.0,108699.0,32446.2,178682.0,0.0,99626.8,142010.0,113995.0,188796.0,0.0,80989.3,151090.0,0.0,0.0,0,0,121943.0,0.0,0.0,0.0,0.0,21527.4,0.0,0.0,101264.0,0.0,0.0,0.0,0.0,0.0,122330.0,0.0,183559.0,0.0,0.0,0.0,97660.1,0.0,77240.6,88324.6,0.0,162357.0,98738.9,0.0,0.0,115717.0,120781.0,83742.3,0.0,91328.2,79571.3,110756.0,0.0,107956.0,0.0,202332.0,163012.0,0.0,0.0,0.0,571022.0,98438.9,585239.0,297300.0,0.0,313651.0,1000000.0,104927.0,0.0,0.0,0,0.0,0,1000000.0,0.0,0.0,112308.0,0.0,0.0,115778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107704.0,124171.0,205860.0,131971.0,286044.0,97247.9,103198.0,130045.0,242113.0,116371.0,0.0,0.0,0.0,65005.6,0.0,0.0,0.0,183728.0,0.0,187741.0,0.0,0.0,63586.9,174841.0,170117.0,0.0,150356.0
VP40,220719.0,0.0,209788.0,220295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333068.0,159668.0,137036.0,208131.0,158114.0,0.0,0.0,219275.0,0,0.0,0.0,217260.0,0.0,0,0.0,0.0,0.0,216209.0,0.0,157362.0,0.0,0.0,0,668883.0,0.0,0.0,550323.0,0.0,0.0,280774.0,133288.0,0.0,172828.0,240406.0,0.0,0.0,168868.0,175668.0,0.0,0.0,211254.0,0.0,154449.0,163261.0,205459.0,205777.0,0.0,0.0,208341,219359.0,212089.0,229725.0,209976.0,205992.0,206819.0,241084.0,181939.0,0.0,0.0,0.0,0.0,0.0,0.0,183897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,215588.0,0.0,0.0,0.0,99986.5,0.0,0.0,0.0,0,165956.0,0.0,0.0,11238.7,0.0,0.0,0.0,329729.0,216622.0,405619,207474.0,0.0,162223.0,0,1000000.0,0.0,83095.3,149369.0,196420.0,165902.0,264009.0,401326.0,32851.9,176504.0,0.0,0.0,0.0,39365.5,165047.0,0.0,0.0,0.0,140994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155031.0,0.0,0.0,0.0,0.0,150765.0,168539.0,184336.0,256440.0,211411.0,191768.0,214294.0,218550.0,0.0,190383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210138,199919.0,0.0,206455.0,0.0,0.0,0.0,210524.0,209635.0,0.0,239139.0,246567.0,0.0,0.0,0.0,0,0.0,0.0,174331.0,252235.0,219011.0,218041.0,0.0,0.0,201698.0,215938.0,202931.0,214689.0,198630.0,185992.0,231591.0,0.0,218407.0,234594.0,230497.0,0.0,0.0,0.0,0.0,215812.0,212134.0,86093.9,219637.0,0.0,138947.0,213665.0,190562.0,187360.0,248096.0,201631.0,160827.0,0.0,0.0,0,0,202932.0,0.0,0.0,0.0,0.0,250787.0,0.0,0.0,196975.0,0.0,167716.0,0.0,0.0,0.0,541937.0,0.0,82497.0,0.0,0.0,0.0,237554.0,0.0,254685.0,246606.0,0.0,250600.0,211761.0,0.0,0.0,211936.0,212828.0,215253.0,0.0,204779.0,195019.0,229622.0,0.0,236076.0,0.0,200482.0,218758.0,0.0,0.0,0.0,0.0,260460.0,24116.1,220401.0,0.0,0.0,0.0,294197.0,0.0,0.0,721312,0.0,0,0.0,0.0,0.0,221795.0,0.0,0.0,215773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190922.0,194692.0,219354.0,213065.0,247881.0,207712.0,174046.0,224499.0,35711.9,210555.0,0.0,0.0,0.0,228619.0,0.0,0.0,0.0,186458.0,0.0,153047.0,0.0,0.0,311592.0,138448.0,150867.0,0.0,168627.0
