study_accession	study_title	experiment_accession	experiment_title	experiment_desc	organism_taxid	organism_name	library_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	biosample	bioproject	instrument	instrument_model	instrument_model_desc	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952762	RA1834_Spleen	RA1834_Spleen	9544	Macaca mulatta	GSM7063956_A0085_S115_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28792000		SAMN33440464	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	25104647	2465183862	SRR38105869	25104647	7556498747
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952761	RA1779_Skin-Non-Rash	RA1779_Skin-Non-Rash	9544	Macaca mulatta	GSM7063955_A0084_S41_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791996		SAMN33440465	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	14826979	1577481541	SRR38105870	14826979	4462920679
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952760	RA1779_Skin-Rash	RA1779_Skin-Rash	9544	Macaca mulatta	GSM7063954_A0083_S42_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791997		SAMN33440466	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	24143643	2568406974	SRR38105871	24143643	7267236543
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952759	RA1779_LN-MES	RA1779_LN-MES	9544	Macaca mulatta	GSM7063953_A0080_S171_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791994		SAMN33440467	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	22483065	2150930401	SRR38105872	22483065	6767402565
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952758	RA1779_LN-ING-L	RA1779_LN-ING-L	9544	Macaca mulatta	GSM7063952_A0079_S172_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791995		SAMN33440468	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	20701401	2020098236	SRR38105873	20701401	6231121701
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952757	RA1779_LN-AX-R	RA1779_LN-AX-R	9544	Macaca mulatta	GSM7063951_A0078_S173_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791999		SAMN33440469	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	24432707	2395177046	SRR38105874	24432707	7354244807
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952756	RA1779_Ovary	RA1779_Ovary	9544	Macaca mulatta	GSM7063950_A0077_S8_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791993		SAMN33440470	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	36749610	3797615406	SRR38105875	36749610	11061632610
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952755	RA1779_Brain-Gr	RA1779_Brain-Gr	9544	Macaca mulatta	GSM7063949_A0076_S83_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791992		SAMN33440471	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	23914482	2777395078	SRR38105876	23914482	7198259082
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952754	RA1803_LN-AX-R	RA1803_LN-AX-R	9544	Macaca mulatta	GSM7063904_A0008_S140_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791990		SAMN33440516	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	30064092	2949692644	SRR38105877	30064092	9049291692
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952753	RA1779_Adrenal	RA1779_Adrenal	9544	Macaca mulatta	GSM7063948_A0074_S61_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791991		SAMN33440472	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	19768989	2091995600	SRR38105878	19768989	5950465689
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952752	RA1779_Kidney	RA1779_Kidney	9544	Macaca mulatta	GSM7063947_A0072_S119_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791988		SAMN33440473	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	17044053	1964690525	SRR38105879	17044053	5130259953
