study_accession	study_title	experiment_accession	experiment_title	experiment_desc	organism_taxid	organism_name	library_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	biosample	bioproject	instrument	instrument_model	instrument_model_desc	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952722	RA0700_Spleen	RA0700_Spleen	9544	Macaca mulatta	GSM7063927_A0043_S118_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791965		SAMN33440493	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	20394612	1981773727	SRR38105552	20394612	6138778212
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952721	RA1325_WholeBlood-BL	RA1325_WholeBlood-BL	9544	Macaca mulatta	GSM7064178_A0366_S59_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791964		SAMN33440242	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	22749025	2253435737	SRR38105553	22749025	6847456525
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952720	RA1074_WholeBlood-D6	RA1074_WholeBlood-D6	9544	Macaca mulatta	GSM7064177_A0365_S60_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791963		SAMN33440243	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	26273008	2664218267	SRR38105554	26273008	7908175408
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952719	RA1074_WholeBlood-D4	RA1074_WholeBlood-D4	9544	Macaca mulatta	GSM7064176_A0364_S61_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791962		SAMN33440244	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	27022089	2688913383	SRR38105555	27022089	8133648789
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952718	RA1074_WholeBlood-D2	RA1074_WholeBlood-D2	9544	Macaca mulatta	GSM7064175_A0363_S62_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791961		SAMN33440245	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	25372604	2532854138	SRR38105556	25372604	7637153804
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952622	RA1074_WholeBlood-BL	RA1074_WholeBlood-BL	9544	Macaca mulatta	GSM7064174_A0362_S63_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791878		SAMN33440246	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	22340716	2234913924	SRR38105557	22340716	6724555516
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952716	RA1082_LN-MES	RA1082_LN-MES	9544	Macaca mulatta	GSM7064085_A0262_S130_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791958		SAMN33440335	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	22491933	2192829521	SRR38105558	22491933	6770071833
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952715	RA1082_LN-ING-L	RA1082_LN-ING-L	9544	Macaca mulatta	GSM7064084_A0261_S131_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791959		SAMN33440336	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	29553867	2900338651	SRR38105559	29553867	8895713967
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952714	RA1082_LN-AX-R	RA1082_LN-AX-R	9544	Macaca mulatta	GSM7064083_A0260_S132_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791955		SAMN33440337	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	28352077	2797279461	SRR38105560	28352077	8533975177
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952713	RA1082_Ovary	RA1082_Ovary	9544	Macaca mulatta	GSM7064082_A0259_S50_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791956		SAMN33440338	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	35040345	3707429373	SRR38105561	35040345	10547143845
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952712	RA1082_Brain-Gr	RA1082_Brain-Gr	9544	Macaca mulatta	GSM7064081_A0258_S72_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791973		SAMN33440339	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	29806617	3458047728	SRR38105562	29806617	8971791717
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952711	A0256	A0256	9544	Macaca mulatta	GSM7064080_A0256	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791957		SAMN33440340	PRJNA938511	Illumina HiSeq 4000	Illumina HiSeq 4000	ILLUMINA	17467873	1986956274	SRR38105563	17467873	5257829773
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952710	RA1082_Kidney	RA1082_Kidney	9544	Macaca mulatta	GSM7064079_A0254_S93_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791952		SAMN33440341	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	78920823	9071859123	SRR38105564	78920823	23755167723
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952709	RA0850_LN-MES	RA0850_LN-MES	9544	Macaca mulatta	GSM7063917_A0024_S183_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791953		SAMN33440503	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	25414132	2472444071	SRR38105565	25414132	7649653732
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952708	RA1082_Spleen	RA1082_Spleen	9544	Macaca mulatta	GSM7064078_A0253_S22_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791951		SAMN33440342	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	22736721	2238991907	SRR38105566	22736721	6843753021
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952707	RA1856_Skin-Non-Rash	RA1856_Skin-Non-Rash	9544	Macaca mulatta	GSM7064077_A0252_S24_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791954		SAMN33440343	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	20217905	2137364076	SRR38105567	20217905	6085589405
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952706	RA1856_LN-MES	RA1856_LN-MES	9544	Macaca mulatta	GSM7064076_A0248_S133_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791950		SAMN33440344	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	14599211	1347966374	SRR38105568	14599211	4394362511
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952705	RA1856_LN-ING-L	RA1856_LN-ING-L	9544	Macaca mulatta	GSM7064075_A0247_S134_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791949		SAMN33440345	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	25657901	2520269604	SRR38105569	25657901	7723028201
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952704	RA1856_LN-AX-R	RA1856_LN-AX-R	9544	Macaca mulatta	GSM7064074_A0246_S135_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791948		SAMN33440346	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	23494303	2299063783	SRR38105570	23494303	7071785203
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952703	RA1856_Brain-Gr	RA1856_Brain-Gr	9544	Macaca mulatta	GSM7064073_A0244_S73_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791947		SAMN33440347	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	21295955	2458466143	SRR38105571	21295955	6410082455
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952702	RA1856_Brain-Wh	RA1856_Brain-Wh	9544	Macaca mulatta	GSM7064072_A0243_S106_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791945		SAMN33440348	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	16950300	1955744929	SRR38105572	16950300	5102040300
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952701	RA1856_Adrenal	RA1856_Adrenal	9544	Macaca mulatta	GSM7064071_A0242	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791944		SAMN33440349	PRJNA938511	Illumina HiSeq 4000	Illumina HiSeq 4000	ILLUMINA	18740668	1943233919	SRR38105573	18740668	5640941068
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952700	RA1856_Kidney	RA1856_Kidney	9544	Macaca mulatta	GSM7064070_A0240_S95_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791946		SAMN33440350	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	20370889	2347191098	SRR38105574	20370889	6131637589
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952699	RA1856_Spleen	RA1856_Spleen	9544	Macaca mulatta	GSM7064069_A0239_S23_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791942		SAMN33440351	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	22573041	2220047031	SRR38105575	22573041	6794485341
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952698	RA0850_LN-ING-L	RA0850_LN-ING-L	9544	Macaca mulatta	GSM7063916_A0023_S184_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791941		SAMN33440504	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	29311674	2894326359	SRR38105576	29311674	8822813874
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952697	RA1325_Skin-Non-Rash	RA1325_Skin-Non-Rash	9544	Macaca mulatta	GSM7064068_A0238_S25_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791940		SAMN33440352	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	38649622	4111074188	SRR38105577	38649622	11633536222
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952696	A0235	A0235	9544	Macaca mulatta	GSM7064067_A0235	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791939		SAMN33440353	PRJNA938511	Illumina HiSeq 4000	Illumina HiSeq 4000	ILLUMINA	8422681	888472119	SRR38105578	8422681	2535226981
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952695	RA1325_LN-MES	RA1325_LN-MES	9544	Macaca mulatta	GSM7064066_A0234_S136_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791937		SAMN33440354	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	25856637	2523036707	SRR38105579	25856637	7782847737
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952694	RA1325_LN-ING-L	RA1325_LN-ING-L	9544	Macaca mulatta	GSM7064065_A0233_S137_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791936		SAMN33440355	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	26307832	2607063217	SRR38105580	26307832	7918657432
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952693	RA1325_LN-AX-R	RA1325_LN-AX-R	9544	Macaca mulatta	GSM7064064_A0232_S138_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791938		SAMN33440356	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	30892425	3094093562	SRR38105581	30892425	9298619925
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952668	RA1325_Brain-Gr	RA1325_Brain-Gr	9544	Macaca mulatta	GSM7064063_A0230_S74_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791913		SAMN33440357	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	21855160	2544848277	SRR38105582	21855160	6578403160
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952691	RA1790_WholeBlood-D8-NEC	RA1790_WholeBlood-D8-NEC	9544	Macaca mulatta	GSM7064129_A0315_S41_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791934		SAMN33440291	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	28095094	2806996428	SRR38105583	28095094	8456623294
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952690	RA0717_Brain-Gr	RA0717_Brain-Gr	9544	Macaca mulatta	GSM7063922_A0034_S87_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791933		SAMN33440498	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	34985498	4069443316	SRR38105584	34985498	10530634898
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952689	RA1790_WholeBlood-BL	RA1790_WholeBlood-BL	9544	Macaca mulatta	GSM7064128_A0314_S42_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791932		SAMN33440292	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	21879579	2197912386	SRR38105585	21879579	6585753279
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952688	RA1790_WholeBlood-BL	RA1790_WholeBlood-BL	9544	Macaca mulatta	GSM7064127_A0313_S43_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791930		SAMN33440293	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	25924705	2561968613	SRR38105586	25924705	7803336205
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952687	RA1779_WholeBlood-D8-NEC	RA1779_WholeBlood-D8-NEC	9544	Macaca mulatta	GSM7064126_A0312_S44_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791931		SAMN33440294	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	22307920	2226348940	SRR38105587	22307920	6714683920
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952686	RA1779_WholeBlood-BL	RA1779_WholeBlood-BL	9544	Macaca mulatta	GSM7064125_A0311_S45_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791929		SAMN33440295	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	23200315	2316471078	SRR38105588	23200315	6983294815
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952685	RA1779_WholeBlood-BL	RA1779_WholeBlood-BL	9544	Macaca mulatta	GSM7064124_A0310_S46_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791928		SAMN33440296	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	23121719	2302450612	SRR38105589	23121719	6959637419
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952684	RA1818_WholeBlood-D6-NEC	RA1818_WholeBlood-D6-NEC	9544	Macaca mulatta	GSM7064123_A0309_S10_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791927		SAMN33440297	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	25874963	2585904230	SRR38105590	25874963	7788363863
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952683	RA1818_WholeBlood-BL	RA1818_WholeBlood-BL	9544	Macaca mulatta	GSM7064122_A0308_S47_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791924		SAMN33440298	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	20784408	2060289345	SRR38105591	20784408	6256106808
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952682	RA1818_WholeBlood-BL	RA1818_WholeBlood-BL	9544	Macaca mulatta	GSM7064121_A0307_S48_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791923		SAMN33440299	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	11323012	1120772995	SRR38105592	11323012	3408226612
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952681	RA0700_WholeBlood-D7-NEC	RA0700_WholeBlood-D7-NEC	9544	Macaca mulatta	GSM7064120_A0306_S11_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791925		SAMN33440300	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	25517838	2558795309	SRR38105593	25517838	7680869238
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952680	RA0700_WholeBlood-Dm04	RA0700_WholeBlood-Dm04	9544	Macaca mulatta	GSM7064119_A0305_S12_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791926		SAMN33440301	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	20953653	2164564868	SRR38105594	20953653	6307049553
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952679	RA0717_Kidney	RA0717_Kidney	9544	Macaca mulatta	GSM7063921_A0030_S122_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791922		SAMN33440499	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	32097177	3713336493	SRR38105595	32097177	9661250277
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952678	RA0700_WholeBlood-Dm30	RA0700_WholeBlood-Dm30	9544	Macaca mulatta	GSM7064118_A0304_S13_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791943		SAMN33440302	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	21677826	2153436826	SRR38105596	21677826	6525025626
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952677	RA1856_WholeBlood-D0	RA1856_WholeBlood-D0	9544	Macaca mulatta	GSM7064117_A0303_S187_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791920		SAMN33440303	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	25822313	2557924399	SRR38105597	25822313	7772516213
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952676	RA1856_WholeBlood-BL	RA1856_WholeBlood-BL	9544	Macaca mulatta	GSM7064116_A0302_S188_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791921		SAMN33440304	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	30554880	3012283549	SRR38105598	30554880	9197018880
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952675	RA1856_WholeBlood-BL	RA1856_WholeBlood-BL	9544	Macaca mulatta	GSM7064115_A0301_S189_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791919		SAMN33440305	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	29374226	2895928064	SRR38105599	29374226	8841642026
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952674	RA1819_WholeBlood-D0	RA1819_WholeBlood-D0	9544	Macaca mulatta	GSM7064114_A0300_S190_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791917		SAMN33440306	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	22488016	2220204830	SRR38105600	22488016	6768892816
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952673	RA1819_WholeBlood-BL	RA1819_WholeBlood-BL	9544	Macaca mulatta	GSM7064113_A0299_S191_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791918		SAMN33440307	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	23987400	2324643305	SRR38105601	23987400	7220207400
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952672	RA1819_WholeBlood-BL	RA1819_WholeBlood-BL	9544	Macaca mulatta	GSM7064112_A0298_S192_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791916		SAMN33440308	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	25451829	2502254387	SRR38105602	25451829	7661000529
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952671	RA1082_WholeBlood-D0	RA1082_WholeBlood-D0	9544	Macaca mulatta	GSM7064111_A0297_S14_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791915		SAMN33440309	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	24072221	2379892102	SRR38105603	24072221	7245738521
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952670	RA1082_WholeBlood-Dm30b	RA1082_WholeBlood-Dm30b	9544	Macaca mulatta	GSM7064110_A0295_S16_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791914		SAMN33440310	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	30112319	2981588911	SRR38105604	30112319	9063808019
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952669	RA1819_Skin-Non-Rash	RA1819_Skin-Non-Rash	9544	Macaca mulatta	GSM7064109_A0294_S18_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791912		SAMN33440311	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	15485569	1636800310	SRR38105605	15485569	4661156269
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952558	RA0717_Spleen	RA0717_Spleen	9544	Macaca mulatta	GSM7063920_A0029_S119_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791830		SAMN33440500	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	24450815	2392321562	SRR38105606	24450815	7359695315
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952667	RA1325_Brain-Wh	RA1325_Brain-Wh	9544	Macaca mulatta	GSM7064062_A0229_S107_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791910		SAMN33440358	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	14227084	1646110023	SRR38105607	14227084	4282352284
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952666	RA1325_Liver-L	RA1325_Liver-L	9544	Macaca mulatta	GSM7064061_A0227_S51_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791911		SAMN33440359	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	116566135	12365122282	SRR38105608	116566135	35086406635
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952665	RA1325_Kidney	RA1325_Kidney	9544	Macaca mulatta	GSM7064060_A0226_S96_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791909		SAMN33440360	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	49766105	5664709226	SRR38105609	49766105	14979597605
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952664	RA1325_Spleen	RA1325_Spleen	9544	Macaca mulatta	GSM7064059_A0225_S24_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791908		SAMN33440361	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	27138650	2699508656	SRR38105610	27138650	8168733650
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952663	RA0850_LN-AX-R	RA0850_LN-AX-R	9544	Macaca mulatta	GSM7063915_A0022_S185_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791907		SAMN33440505	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	26384002	2619443290	SRR38105611	26384002	7941584602
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952662	RA1639_Skin-Non-Rash	RA1639_Skin-Non-Rash	9544	Macaca mulatta	GSM7064058_A0224_S27_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791906		SAMN33440362	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	17352620	1828144412	SRR38105612	17352620	5223138620
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952661	A0221_A	A0221_A	9544	Macaca mulatta	GSM7064057_A0221_A	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791905		SAMN33440363	PRJNA938511	Illumina HiSeq 4000	Illumina HiSeq 4000	ILLUMINA	3723870	393872787	SRR38105613	3723870	1120884870
