ENSMMUG00000002142	8
ENSMMUG00000019995	12
ENSMMUG00000053224	7
ENSMMUG00000015158	201
ENSMMUG00000008835	36
ENSMMUG00000008146	24
ENSMMUG00000064143	17
ENSMMUG00000010977	18
ENSMMUG00000008145	9
ENSMMUG00000056564	2
ENSMMUG00000015156	25
ENSMMUG00000057586	0
ENSMMUG00000054804	0
ENSMMUG00000003343	3
ENSMMUG00000060391	10
ENSMMUG00000055518	2
ENSMMUG00000025174	2
ENSMMUG00000057562	39
ENSMMUG00000015155	7
ENSMMUG00000050796	2
ENSMMUG00000045106	1
ENSMMUG00000061927	0
ENSMMUG00000008638	12
ENSMMUG00000010973	85
ENSMMUG00000010978	0
ENSMMUG00000051774	13
ENSMMUG00000052045	10
ENSMMUG00000019994	27
ENSMMUG00000050423	0
ENSMMUG00000031655	1
ENSMMUG00000053265	5
ENSMMUG00000022884	72
ENSMMUG00000063102	0
ENSMMUG00000010979	0
ENSMMUG00000015150	14
ENSMMUG00000010970	31
ENSMMUG00000010980	0
ENSMMUG00000064110	9240
ENSMMUG00000008917	1
ENSMMUG00000053474	2
ENSMMUG00000022886	0
ENSMMUG00000058556	0
ENSMMUG00000011221	174
ENSMMUG00000049444	0
ENSMMUG00000040678	0
ENSMMUG00000006022	2
ENSMMUG00000001803	420
ENSMMUG00000010961	2
ENSMMUG00000059457	0
ENSMMUG00000022173	10
ENSMMUG00000047604	0
ENSMMUG00000056485	4
ENSMMUG00000032222	0
ENSMMUG00000022171	60
ENSMMUG00000061389	0
ENSMMUG00000004833	1
ENSMMUG00000031291	1
ENSMMUG00000004835	0
ENSMMUG00000012185	14
ENSMMUG00000036025	4
ENSMMUG00000056752	8
ENSMMUG00000052576	167
ENSMMUG00000005740	3
ENSMMUG00000047853	15
ENSMMUG00000045584	21
ENSMMUG00000013857	17
ENSMMUG00000052341	3
ENSMMUG00000015142	15
ENSMMUG00000004832	2
ENSMMUG00000022170	218
ENSMMUG00000038517	12
ENSMMUG00000021387	4
ENSMMUG00000015056	1
ENSMMUG00000044778	0
ENSMMUG00000052344	114
ENSMMUG00000059270	12
ENSMMUG00000061945	0
ENSMMUG00000064796	0
ENSMMUG00000006868	1
ENSMMUG00000008435	19
ENSMMUG00000049733	4
ENSMMUG00000005634	4
ENSMMUG00000006865	0
ENSMMUG00000019287	25
ENSMMUG00000013090	0
ENSMMUG00000058244	20
ENSMMUG00000052239	0
ENSMMUG00000053940	0
ENSMMUG00000064041	0
ENSMMUG00000032677	0
ENSMMUG00000060204	5
ENSMMUG00000053534	0
ENSMMUG00000045550	6
ENSMMUG00000051554	0
ENSMMUG00000022168	0
ENSMMUG00000009773	398
ENSMMUG00000042187	0
ENSMMUG00000043598	3
ENSMMUG00000055481	1
ENSMMUG00000061167	10
ENSMMUG00000045959	4
ENSMMUG00000019815	23
ENSMMUG00000031430	8
ENSMMUG00000021750	0
ENSMMUG00000064805	1
ENSMMUG00000051645	2
ENSMMUG00000057430	0
ENSMMUG00000051591	5
ENSMMUG00000064352	14
ENSMMUG00000059169	0
ENSMMUG00000013738	0
ENSMMUG00000008990	1
ENSMMUG00000021862	1
ENSMMUG00000049143	56
ENSMMUG00000037766	0
ENSMMUG00000019812	43
ENSMMUG00000015924	94
ENSMMUG00000055077	1
ENSMMUG00000050331	0
ENSMMUG00000041086	1
ENSMMUG00000011732	6
ENSMMUG00000053964	2
ENSMMUG00000015555	13
ENSMMUG00000061474	2
ENSMMUG00000055316	3
ENSMMUG00000019914	38
ENSMMUG00000020834	2
