gene_name,SRR1613377,SRR1613378,SRR1613379,SRR1613380,SRR1613381,SRR1613382,SRR1613383,SRR1613384,SRR1972616,SRR1972678,SRR1972683,SRR1972726,SRR1972736,SRR1972740,SRR1972745,SRR1972767,SRR1972794,SRR1972858,SRR1972863,SRR1972864,SRR1972886,SRR1735055,SRR1735135,SRR1735177,SRR1553418,SRR1553443,SRR1553445,SRR1553447,SRR1553448,SRR1553449,SRR1553451,SRR1553453,SRR1553455,SRR1553457,SRR1553459,SRR1553461,SRR1553462,SRR1553463,SRR1553469,SRR1553489,SRR1553491,SRR1553493,SRR1553501,SRR1553510,SRR1553519,SRR1553539,SRR1553540,SRR1553581,SRR1553595,SRR1553603
GP,148677.7,154303.44,122962.17,134457.4,207228,217442,216867,184408.9,289202.0457,152994.7256,155598.3777,125759.6615,159098.8815,132190.0,132578.0,67848.06299,175898.45,83177.792,38628.4,33984.008330000004,119117.775658,0.0,123595.115,901832.01119,139407.9,148701.48,139173.59927,138356.28362,118239.71404,125794.50103,162130.18,158719.31369,145797.4,156811.5,151603.1,146801.44869,148449.874641,146870.3216,140768.4,124733.902,135541.6,171414.6,180520.09,127510.12265,145126.1,152909.81719,148678.2361,147930.175978,150043.30048,158140.5
L,132054.0,124332.0,128675.0,131512.0,104904,105513,105481,121420.0,86595.9,124724.0,130275.0,180373.0,147535.0,154451.0,108430.0,104994.0,164330.0,89096.1,324701.0,204020.0,161661.0,0.0,204639.0,98167.9,117575.0,121870.0,125474.0,136258.0,147349.0,121411.0,120922.0,135079.0,140966.0,134732.0,123134.0,146045.0,131010.0,139315.0,127761.0,105960.0,110388.0,144687.0,140838.0,139359.0,120223.0,131858.0,126077.0,133654.0,142848.0,132880.0
NP,145089.0,142121.0,155738.0,144069.0,153983,144503,147728,142271.0,197638.0,199902.0,130113.0,142654.0,118563.0,104303.0,181201.0,253760.0,124589.0,164656.0,189920.0,88984.4,115545.0,0.0,131593.0,0.0,149325.0,155895.0,157064.0,145540.0,132851.0,144585.0,143789.0,138090.0,139914.0,141950.0,150897.0,134930.0,135169.0,139010.0,147151.0,166724.0,141606.0,152480.0,159529.0,128922.0,147739.0,143636.0,112675.0,155077.0,141096.0,130119.0
VP24,139832.0,157679.0,150980.0,160050.0,121087,126486,127081,142548.0,0.0,66729.4,264247.0,184307.0,143901.0,137499.0,117884.0,105344.0,152168.0,329399.0,158621.0,266329.0,152482.0,0.0,127563.0,0.0,130057.0,122304.0,124638.0,130301.0,163306.0,148207.0,136287.0,139521.0,149565.0,142774.0,135745.0,141066.0,135660.0,150200.0,115724.0,106224.0,128306.0,114241.0,122681.0,152802.0,125553.0,148883.0,148538.0,135789.0,136180.0,134804.0
VP30,147581.0,139537.0,147308.0,147166.0,114886,104943,104071,119048.0,0.0,302399.0,142044.0,120539.0,134342.0,178541.0,265310.0,145599.0,171290.0,186535.0,138030.0,251192.0,140396.0,0.0,71651.4,0.0,153792.0,118642.0,118180.0,113573.0,151105.0,143269.0,138229.0,153518.0,162525.0,152002.0,130557.0,149224.0,138915.0,145931.0,154924.0,115176.0,133071.0,101644.0,122849.0,147551.0,121426.0,141536.0,128583.0,131900.0,128056.0,139293.0
VP35,148124.0,131417.0,150990.0,150832.0,138513,137229,135895,134723.0,426565.0,80801.2,41213.1,85596.7,123469.0,99364.9,35306.1,170693.0,145912.0,39866.6,44219.6,107327.0,125819.0,0.0,203213.0,0.0,142557.0,180699.0,182819.0,187507.0,137049.0,150950.0,141623.0,129711.0,124867.0,139624.0,158291.0,147586.0,149186.0,138878.0,161931.0,206917.0,196567.0,149532.0,171178.0,146278.0,183097.0,149280.0,177962.0,152574.0,161171.0,145559.0
VP40,138642.0,150611.0,143347.0,131913.0,159400,163884,162877,155581.0,0.0,72450.0,136510.0,160771.0,173091.0,193651.0,159291.0,151762.0,65811.4,107270.0,105879.0,48162.5,184979.0,0.0,137745.0,0.0,167285.0,151888.0,152652.0,148465.0,150099.0,165783.0,157020.0,145361.0,136365.0,132106.0,149773.0,134347.0,161609.0,139796.0,151740.0,174265.0,154520.0,166001.0,102405.0,157577.0,156836.0,131898.0,157487.0,143075.0,140605.0,159205.0
